2025-06-05| 132|  78| 12| 5.33|    5| 5.33| 3.67|    3| 3.67| 2.33| 2.33|    3| 2.67
2025-06-04| 134|  90| 26| 5.67| 5.67| 4.67| 2.67| 2.33| 1.33| 3.67|    3|    4|    5
2025-06-03| 139|  93| 58| 7.00|    6| 5.33| 5.33| 5.67| 5.67|    7|    6| 5.33| 5.67
2025-06-02| 144| 104| 69| 7.67| 7.67|    5|    7|    4| 4.67|    5| 6.33| 6.67|    6
2025-06-01| 155| 123| 107| 8.00| 3.67| 2.33|    3| 3.67| 5.33| 5.33| 8| 7.33| 7.67
2025-05-31| 169| 115|  16| 4.33|    4| 4.33| 4.33| 3.67| 3.33|    3| 3| 2.33| 3.67
2025-05-30| 161| 127|  30| 5.67| 5.67| 5.67| 5.67|    5|    5| 4.33| 4| 3.33|    4
2025-05-29| 149| 107| 65| 6.67| 1.67| 3.33| 3.33| 2.67| 6.67| 5.33|    5| 5.33| 5.67
2025-05-28| 148| 114| 18| 4.33|    3| 2.67|    4|    4|    4| 4.33| 2.67| 3.33| 1.67
2025-05-27| 141| 113| 15| 3.00|    3| 1.33|    2| 2.67| 2.33| 2.33| 1.67| 2.67|    3
2025-05-26| 136| 124| 8| 3.00|    2| 1.33|    1|    1| 1.67| 1.67|    2| 1.67|    3
2025-05-25| 137| 104| 6| 2.00| 1.67|    1| 0.67| 1.33| 1.67|    2|    2| 1.33|    2
2025-05-24| 133| 108| 5| 2.33| 2.33| 2.33| 1.33|    2| 1.67| 1.33| 1.67| 1.33| 1.67
2025-05-23| 125| 128|  7| 2.33| 1.67| 1.33| 2.33| 1.67| 2| 1.67| 2|    2| 2.33
2025-05-22| 123| 104|  7| 2.33| 2.33| 1.33| 1.67| 2.33| 2|    2| 2| 1.33| 1.67
2025-05-21| 122|  98| 13| 4.00|    3| 2.67|    2|    3| 4|    3| 3|    3| 2.33
2025-05-20| 122| 82| 13| 3.00| 2.33| 2.33| 1.67|    2| 2.33| 3|    3|    3|    3
2025-05-19| 120| 70| 10| 4.00| 2.33|    4|    4| 2.67| 3.33| 3| 1.67| 1.67| 2.33
2025-05-18| 121| 59| 22| 4.67| 4.33|    4| 3.67| 3.33|    4| 3| 4.67| 3.33| 2.33
